Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,27.9,28.74,27.85,28.54,28.54,91751100
2019-04-02,28.47,28.87,28.35,28.87,28.87,66694000
2019-04-03,29.07,29.24,28.7,28.84,28.84,63110600
2019-04-04,28.85,29.31,28.84,29.15,29.15,53712100
2019-04-05,29.32,29.5,28.98,29.08,29.08,46383400
2019-04-08,28.89,29.2,28.87,29.17,29.17,35272800
2019-04-09,29.0,29.07,28.74,28.89,28.89,40535300
2019-04-10,28.9,29.15,28.75,29.07,29.07,42669700
2019-04-11,29.25,29.49,28.99,29.07,29.07,50440100
2019-04-12,29.56,30.22,29.56,30.17,30.17,100192000
2019-04-15,30.1,30.14,29.66,29.84,29.84,57438800
2019-04-16,29.3,30.05,29.0,29.88,29.88,105168400
2019-04-17,29.83,30.12,29.46,30.03,30.03,94831600
2019-04-18,29.95,30.16,29.82,30.03,30.03,61796600
2019-04-22,29.93,30.1,29.78,30.05,30.05,34763400
2019-04-23,29.99,30.21,29.92,30.07,30.07,41889700
2019-04-24,29.95,30.17,29.85,30.02,30.02,40078100
2019-04-25,29.91,30.32,29.9,30.08,30.08,43243800
2019-04-26,30.17,30.39,30.05,30.35,30.35,40627500
2019-04-29,30.43,31.17,30.41,30.77,30.77,68272600
