Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,81.23,81.78,81.08,81.73,81.73,10816400
2019-04-02,81.75,81.95,81.11,81.38,81.38,7646000
2019-04-03,81.77,81.77,80.61,80.9,80.9,8562900
2019-04-04,81.12,82.08,80.77,82.05,82.05,9360600
2019-04-05,82.15,82.53,81.95,82.49,82.49,10059100
2019-04-08,82.67,83.2,82.59,83.0,83.0,9108200
2019-04-09,82.52,82.58,81.74,81.93,81.93,8561600
2019-04-10,81.92,82.08,81.41,81.56,81.56,10324300
2019-04-11,81.54,82.07,81.02,81.95,81.95,9115100
2019-04-12,82.81,82.81,80.58,80.92,80.92,16638700
2019-04-15,80.89,81.06,80.52,80.65,80.65,8536100
2019-04-16,80.81,81.35,80.69,81.2,81.2,7005700
2019-04-17,81.55,81.7,81.08,81.43,81.43,8311400
2019-04-18,81.56,81.83,81.07,81.13,81.13,9493900
2019-04-22,81.87,83.22,81.64,82.9,82.9,10770600
2019-04-23,83.19,83.49,82.68,83.38,83.38,10595100
2019-04-24,83.01,83.08,81.73,81.76,81.76,11684000
2019-04-25,81.65,82.84,81.4,82.22,82.22,11135000
2019-04-26,80.27,80.63,79.56,80.49,80.49,18053500
2019-04-29,80.12,80.38,79.66,79.97,79.97,9362800
