Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,119.21,120.12,117.97,120.03,120.03,809100
2019-04-02,120.28,122.0,119.39,121.71,121.71,1114100
2019-04-03,121.87,122.66,120.82,121.66,121.66,780300
2019-04-04,121.89,122.26,120.71,121.93,121.93,483100
2019-04-05,122.01,122.75,121.74,122.41,122.41,961500
2019-04-08,122.28,122.67,120.82,121.41,121.41,1075600
2019-04-09,121.48,121.95,120.32,120.53,120.53,1076300
2019-04-10,121.39,122.08,121.01,121.98,121.98,996400
2019-04-11,121.98,122.7,120.97,121.72,121.72,778800
2019-04-12,121.53,122.76,120.87,122.73,122.73,782100
2019-04-15,122.88,123.02,121.48,121.9,121.9,558600
2019-04-16,121.8,122.3,118.22,119.07,119.07,862800
2019-04-17,119.17,120.03,117.56,119.12,119.12,775900
2019-04-18,119.12,120.98,118.93,120.45,120.45,863000
2019-04-22,120.01,120.4,118.1,119.38,119.38,866600
2019-04-23,118.0,119.92,116.93,117.3,117.3,1675900
2019-04-24,117.61,119.79,117.38,119.26,119.26,1251900
2019-04-25,117.9,120.41,117.31,119.81,119.81,1147600
2019-04-26,117.75,118.0,113.62,116.79,116.79,2665500
2019-04-29,116.49,118.24,115.82,117.12,117.12,1502000
