Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,61.08,61.45,60.41,60.84,60.84,2580400
2019-04-02,61.55,61.55,60.12,60.35,60.35,3058500
2019-04-03,60.55,60.81,59.3,59.56,59.56,1893800
2019-04-04,59.5,60.81,59.13,60.75,60.75,2487900
2019-04-05,61.0,63.1,60.87,63.0,63.0,4768400
2019-04-08,63.1,63.62,62.59,63.08,63.08,4155500
2019-04-09,62.71,63.31,61.89,62.54,62.54,3084400
2019-04-10,62.96,63.63,62.84,63.36,63.36,2856800
2019-04-11,62.97,63.69,62.23,63.29,63.29,2128400
2019-04-12,65.0,66.25,64.61,66.1,66.1,6405700
2019-04-15,65.7,66.26,65.25,65.54,65.54,2041800
2019-04-16,65.28,66.48,64.66,66.31,66.31,2643200
2019-04-17,66.65,67.0,65.74,65.92,65.92,2135300
2019-04-18,66.05,66.59,65.66,65.86,65.86,2199100
2019-04-22,66.95,68.27,66.26,67.88,67.88,4294700
2019-04-23,67.75,68.08,66.89,67.46,67.46,3839000
2019-04-24,67.75,68.25,65.76,65.85,65.85,4279000
2019-04-25,66.46,67.15,63.93,64.18,64.18,7603500
2019-04-26,63.49,64.22,62.75,63.85,63.85,3828900
2019-04-29,64.02,64.42,63.35,63.92,63.92,2737400
