Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,48.54,48.82,47.93,48.19,48.19,1863200
2019-04-02,48.25,48.38,47.95,48.17,48.17,1216600
2019-04-03,48.31,48.32,47.51,47.52,47.52,1494900
2019-04-04,47.56,47.56,46.93,47.31,47.31,2011800
2019-04-05,47.48,47.96,47.05,47.13,47.13,1752700
2019-04-08,47.19,47.49,46.18,46.81,46.81,2156800
2019-04-09,46.74,47.12,46.64,47.0,47.0,1037100
2019-04-10,47.1,47.76,47.02,47.56,47.56,1475500
2019-04-11,47.53,47.7,47.28,47.39,47.39,975700
2019-04-12,47.68,47.98,47.38,47.54,47.54,1217200
2019-04-15,47.58,47.63,47.01,47.04,47.04,833800
2019-04-16,47.32,47.44,45.61,45.79,45.79,1054400
2019-04-17,45.88,46.07,43.24,43.43,43.43,1916700
2019-04-18,43.55,43.81,42.95,43.4,43.4,1766100
2019-04-22,43.21,43.7,42.61,43.0,43.0,2039200
2019-04-23,42.99,44.36,42.86,44.26,44.26,2874500
2019-04-24,43.89,44.76,43.77,44.73,44.73,1300100
2019-04-25,44.51,45.33,44.39,45.2,45.2,1028600
2019-04-26,45.17,45.57,45.01,45.57,45.57,1248800
2019-04-29,45.48,45.72,45.09,45.59,45.59,990100
