Date,Open,High,Low,Close,Adj Close,Volume
2014-10-01,27.9,33.0,27.32,31.5,31.5,37780600
2014-11-01,30.61,35.38,28.56,35.2,35.2,71951700
2014-12-01,35.01,35.18,32.39,33.77,33.77,22927400
2015-01-01,33.81,36.33,33.05,33.39,33.39,21736500
2015-02-01,33.44,37.93,33.37,37.54,37.54,14147100
2015-03-01,37.08,38.99,35.94,37.15,37.15,11693800
2015-04-01,37.18,37.48,33.37,33.46,33.46,13111000
2015-05-01,33.59,36.31,32.17,32.86,32.86,24100400
2015-06-01,32.87,33.71,31.02,31.19,31.19,19329900
2015-07-01,31.35,31.59,29.51,30.54,30.54,17174900
2015-08-01,30.71,33.29,29.28,32.04,32.04,16116400
2015-09-01,31.37,34.13,29.94,30.84,30.84,11943200
2015-10-01,30.85,33.39,30.0,33.08,33.08,9240800
2015-11-01,33.0,33.48,28.55,30.81,30.81,13707300
2015-12-01,30.7,30.79,27.75,28.33,28.33,16810100
2016-01-01,27.93,28.35,22.15,23.4,23.4,18725900
2016-02-01,23.14,26.19,21.07,26.09,26.09,18174000
2016-03-01,26.27,28.39,25.29,27.74,27.74,14020400
2016-04-01,27.18,28.05,25.75,26.08,26.08,12459000
2016-05-01,26.08,30.91,25.49,30.63,30.63,18346900
2016-06-01,30.43,31.87,28.46,29.09,29.09,17388100
2016-07-01,29.04,30.0,27.9,29.24,29.24,13442600
2016-08-01,29.2,30.62,26.87,30.43,30.43,13977100
2016-09-01,30.4,31.8,29.25,31.69,31.69,11027100
2016-10-01,31.35,33.14,30.93,32.8,32.8,10601100
2016-11-01,32.94,38.28,31.81,36.83,36.83,12745400
2016-12-01,36.9,37.54,35.23,36.57,36.57,13472900
2017-01-01,36.6,37.86,35.6,37.07,37.07,12333600
2017-02-01,37.14,38.48,36.1,37.6,37.6,16414800
2017-03-01,37.97,39.36,35.5,36.14,36.14,26271200
2017-04-01,36.24,38.17,35.05,37.43,37.43,15935200
2017-05-01,37.55,39.49,37.1,38.64,38.64,13955500
2017-06-01,39.0,41.99,35.62,38.93,38.93,36367300
2017-07-01,39.1,42.98,38.51,41.59,41.59,19212300
2017-08-01,41.91,43.15,39.21,40.86,40.86,17832000
2017-09-01,40.81,41.73,39.54,41.66,41.66,13798800
2017-10-01,41.68,44.79,41.46,44.67,44.67,13005400
2017-11-01,44.84,45.65,42.73,43.5,43.5,14540100
2017-12-01,43.37,45.08,41.33,41.6,41.6,17021600
2018-01-01,41.9,48.03,41.6,46.72,46.72,15626400
2018-02-01,46.53,48.16,42.13,47.01,47.01,13092300
2018-03-01,47.04,55.21,45.98,52.39,52.39,24734200
2018-04-01,51.99,55.02,50.25,51.68,51.68,17490000
2018-05-01,51.47,62.41,50.59,58.74,58.74,40569300
2018-06-01,59.42,62.21,58.17,59.03,59.03,27037400
2018-07-01,58.55,61.25,57.01,58.0,58.0,14202200
2018-08-01,58.0,70.4,58.0,64.89,64.89,25973600
2018-09-01,64.9,67.08,63.9,66.28,66.28,21884900
2018-10-01,66.7,67.0,54.76,57.08,57.08,28348100
2018-11-01,57.64,61.88,53.21,61.82,61.82,91481400
2018-12-01,62.69,63.09,55.91,62.08,62.08,29759300
2019-01-01,61.17,74.11,58.24,74.02,74.02,37509700
2019-02-01,74.35,86.01,74.14,84.41,84.41,39063100
2019-03-01,85.0,88.09,83.15,87.2,87.2,34985300
2019-04-01,88.0,93.77,84.07,85.88,85.88,30287400
2019-04-26,87.23,87.49,84.07,85.88,85.88,4054300
