Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,49.99,51.75,46.27,50.98,50.98,16643000
2014-06-01,50.9,53.55,50.55,53.29,53.29,12053200
2014-07-01,53.3,57.33,53.03,54.93,54.93,11824000
2014-08-01,55.52,57.65,54.66,56.12,56.12,8185100
2014-09-01,56.32,58.89,55.35,55.78,55.78,12381900
2014-10-01,56.26,58.55,51.09,58.54,58.54,14695700
2014-11-01,59.0,60.71,54.77,57.82,57.82,18999300
2014-12-01,57.32,60.79,56.12,58.87,58.87,16425000
2015-01-01,59.14,62.73,56.46,60.5,60.5,11241200
2015-02-01,60.31,66.28,58.8,64.98,64.98,11011400
2015-03-01,64.98,69.97,63.62,66.97,66.97,11427600
2015-04-01,66.46,70.0,64.25,65.88,65.88,12807200
2015-05-01,65.94,70.79,63.63,69.71,69.71,20648800
2015-06-01,69.71,73.82,68.23,72.61,72.61,14675700
2015-07-01,72.75,80.45,71.46,76.72,76.72,16442500
2015-08-01,76.72,77.97,67.47,74.51,74.51,19031900
2015-09-01,73.16,78.84,67.83,69.57,69.57,14968900
2015-10-01,69.17,72.68,63.62,63.65,63.65,20280400
2015-11-01,64.0,70.02,63.97,67.99,67.99,17698100
2015-12-01,68.34,70.74,65.76,68.66,68.66,16821900
2016-01-01,67.86,67.92,59.89,60.83,60.83,18690600
2016-02-01,60.86,64.85,55.01,62.71,62.71,22367800
2016-03-01,62.92,67.55,62.81,65.1,65.1,16041500
2016-04-01,64.62,71.44,64.48,69.07,69.07,14886000
2016-05-01,69.47,69.67,62.95,67.89,67.89,38675900
2016-06-01,67.64,67.99,61.21,65.32,65.32,26978600
2016-07-01,65.14,78.36,65.01,77.64,77.64,31546900
2016-08-01,77.89,78.86,73.85,77.3,77.3,20384700
2016-09-01,77.46,81.26,75.67,81.06,81.06,18255100
2016-10-01,80.87,81.45,71.17,71.74,71.74,33285100
2016-11-01,71.94,81.18,70.1,76.83,76.83,39818100
2016-12-01,75.6,80.98,71.9,76.05,76.05,38647500
2017-01-01,76.71,78.58,74.8,78.49,78.49,21916700
2017-02-01,78.28,83.04,75.94,77.39,77.39,30730900
2017-03-01,77.51,81.99,76.51,80.53,80.53,37735500
2017-04-01,80.39,84.49,78.07,84.28,84.28,22526100
2017-05-01,84.75,86.51,81.62,86.44,86.44,26286000
2017-06-01,86.81,91.81,84.3,89.5,89.5,24078800
2017-07-01,89.6,92.54,87.64,90.55,90.55,14952900
2017-08-01,90.62,99.95,87.45,96.03,96.03,73409500
2017-09-01,96.05,97.6,93.79,95.07,95.07,30495400
2017-10-01,95.17,108.81,94.28,108.1,108.1,33266600
2017-11-01,108.25,110.67,100.72,103.9,103.9,35939400
2017-12-01,102.43,103.28,97.45,97.9,97.9,23678000
2018-01-01,98.52,106.33,97.15,102.19,102.19,23705600
2018-02-01,102.12,108.38,93.1,98.33,98.33,26245600
2018-03-01,98.43,106.81,96.24,98.11,98.11,19543000
2018-04-01,98.18,100.3,94.26,95.76,95.76,17549000
2018-05-01,95.64,103.97,91.57,98.93,98.93,39166500
2018-06-01,99.46,106.99,97.65,99.82,99.82,35888100
2018-07-01,99.42,125.35,98.17,121.94,121.94,30815400
2018-08-01,122.2,127.28,119.53,127.09,127.09,19740000
2018-09-01,126.9,131.71,122.28,129.74,129.74,22643200
2018-10-01,130.28,135.48,115.0,122.93,122.93,32008600
2018-11-01,123.33,126.83,113.12,125.07,125.07,25521600
2018-12-01,128.64,129.01,104.9,116.17,116.17,31464900
2019-01-01,114.41,129.09,107.79,129.01,129.01,25816600
2019-02-01,129.13,143.66,128.16,140.1,140.1,24110400
2019-03-01,140.9,145.16,136.22,143.85,143.85,28693400
2019-04-01,145.25,146.1,131.03,138.7,138.7,22757400
2019-04-26,137.38,138.79,136.26,138.7,138.7,884526
