Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,192.99,195.9,192.85,195.64,195.64,5381400
2019-04-02,195.5,195.5,194.02,194.31,194.31,2717800
2019-04-03,194.98,198.79,194.11,198.61,198.61,4581500
2019-04-04,199.0,200.49,198.02,200.45,200.45,3138400
2019-04-05,200.86,203.13,200.61,202.06,202.06,3615300
2019-04-08,201.37,203.79,201.24,203.55,203.55,3040900
2019-04-09,202.26,202.71,200.46,200.9,200.9,3721700
2019-04-10,201.26,201.6,198.02,199.43,199.43,3587500
2019-04-11,199.9,201.5,199.03,201.48,201.48,2465100
2019-04-12,202.13,204.26,202.13,203.85,203.85,3097900
2019-04-15,204.16,205.14,203.4,204.86,204.86,3049900
2019-04-16,205.25,205.99,204.29,204.47,204.47,3271400
2019-04-17,205.34,206.84,205.32,206.55,206.55,3271900
2019-04-18,206.02,207.78,205.1,205.66,205.66,3162500
2019-04-22,204.11,206.25,204.0,204.78,204.78,2593900
2019-04-23,205.14,207.33,203.43,206.05,206.05,3702600
2019-04-24,206.16,208.3,205.54,206.72,206.72,2750900
2019-04-25,206.01,207.72,205.06,206.5,206.5,3292100
2019-04-26,205.88,206.14,203.34,203.61,203.61,3560300
2019-04-29,203.31,203.8,200.34,202.16,202.16,3647700
