Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,23.1,23.28,22.99,23.19,23.19,4215100
2019-04-02,23.22,23.26,23.04,23.15,23.15,3599300
2019-04-03,23.3,23.53,23.25,23.33,23.33,6957900
2019-04-04,23.43,23.51,22.77,23.04,23.04,4393800
2019-04-05,23.06,23.32,22.93,22.99,22.99,3999800
2019-04-08,23.71,24.77,23.65,24.24,24.24,11619000
2019-04-09,24.07,24.24,23.82,23.88,23.88,4925300
2019-04-10,23.87,24.12,23.52,23.74,23.74,4327800
2019-04-11,23.8,23.98,23.72,23.9,23.9,2283300
2019-04-12,24.0,24.03,23.8,23.96,23.96,3912200
2019-04-15,23.99,24.5,23.99,24.41,24.41,4021800
2019-04-16,24.5,24.54,24.13,24.3,24.3,4998100
2019-04-17,24.47,24.77,24.34,24.47,24.47,6602400
2019-04-18,24.55,24.56,24.06,24.4,24.4,4528600
2019-04-22,24.25,24.42,24.05,24.26,24.26,4024000
2019-04-23,24.32,24.49,23.95,24.29,24.29,5963100
2019-04-24,24.28,24.43,24.14,24.25,24.25,2914100
2019-04-25,24.24,24.33,23.97,24.13,24.13,3485400
2019-04-26,24.13,24.27,24.05,24.24,24.24,2483200
2019-04-29,24.27,24.39,24.11,24.33,24.33,2867300
