Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,47.13,47.14,46.55,46.85,46.5,1350400
2019-04-02,46.92,46.93,46.38,46.55,46.2,1712800
2019-04-03,46.52,46.65,46.14,46.53,46.18,1704600
2019-04-04,46.64,46.65,45.99,46.32,45.97,1111500
2019-04-05,46.21,46.76,46.17,46.74,46.39,986500
2019-04-08,46.65,46.75,46.23,46.36,46.01,939900
2019-04-09,46.37,46.47,46.2,46.44,46.09,833900
2019-04-10,46.47,46.9,46.18,46.29,45.94,837600
2019-04-11,46.32,46.65,46.3,46.63,46.28,1152500
2019-04-12,46.56,46.84,46.14,46.81,46.46,801700
2019-04-15,46.84,46.99,46.6,46.73,46.38,764600
2019-04-16,46.71,46.9,45.93,46.1,45.75,801900
2019-04-17,46.14,46.22,45.88,45.9,45.55,776600
2019-04-18,45.88,46.27,45.75,45.98,45.63,1898000
2019-04-22,45.95,46.11,45.72,45.94,45.59,1113000
2019-04-23,46.1,46.39,45.87,46.24,45.89,1005000
2019-04-24,46.33,46.8,46.24,46.68,46.33,1248400
2019-04-25,46.46,47.04,46.25,46.87,46.52,962000
2019-04-26,47.03,47.41,46.94,46.98,46.62,1124900
2019-04-29,46.49,46.56,46.13,46.28,46.28,802100
