Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,15.4,15.64,15.27,15.44,15.44,5827700
2019-04-02,15.39,15.65,15.33,15.34,15.34,4253900
2019-04-03,15.5,15.62,15.2,15.32,15.32,4641700
2019-04-04,15.32,15.65,15.28,15.57,15.57,5565500
2019-04-05,15.64,16.09,15.59,15.85,15.85,5532700
2019-04-08,15.9,16.0,15.64,15.76,15.76,4529900
2019-04-09,15.69,15.75,15.26,15.29,15.29,5143500
2019-04-10,15.33,15.48,15.21,15.48,15.48,3128000
2019-04-11,15.49,15.58,15.32,15.36,15.36,4470900
2019-04-12,15.43,15.59,15.31,15.39,15.39,5920900
2019-04-15,15.39,15.39,15.15,15.18,15.18,4913500
2019-04-16,15.19,15.26,15.03,15.18,15.18,5514800
2019-04-17,15.25,15.37,15.12,15.16,15.16,4294300
2019-04-18,15.16,15.29,15.12,15.15,15.15,7221800
2019-04-22,15.16,15.24,14.4,14.41,14.41,10268300
2019-04-23,14.48,14.54,14.15,14.17,14.17,7705600
2019-04-24,14.21,14.35,14.05,14.23,14.23,5768100
2019-04-25,14.16,14.18,13.57,13.63,13.63,8413400
2019-04-26,13.64,14.39,13.64,14.32,14.32,7792300
2019-04-29,14.4,14.69,14.32,14.42,14.42,5651300
