Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,165.78,166.92,164.12,164.77,164.77,1080600
2019-04-02,164.23,164.7,162.47,163.22,163.22,805400
2019-04-03,163.45,164.83,163.01,164.28,164.28,897200
2019-04-04,164.82,165.0,162.6,163.07,163.07,852800
2019-04-05,163.46,163.98,162.91,163.5,163.5,733900
2019-04-08,163.68,164.93,163.04,164.82,164.82,1091000
2019-04-09,164.4,164.77,163.28,163.85,163.85,1062400
2019-04-10,164.61,166.83,163.94,166.52,166.52,977000
2019-04-11,167.68,168.32,166.73,168.04,168.04,1601200
2019-04-12,168.55,169.47,167.18,167.52,167.52,1215600
2019-04-15,167.31,168.14,166.14,167.1,167.1,1077300
2019-04-16,168.01,170.0,167.36,169.84,169.84,1332800
2019-04-17,170.72,170.8,168.13,169.53,169.53,1425300
2019-04-18,169.84,171.39,169.48,170.33,170.33,1131500
2019-04-22,170.02,170.72,168.27,169.92,169.92,978800
2019-04-23,169.77,171.8,169.63,171.11,171.11,1122000
2019-04-24,170.84,171.53,169.55,170.42,170.42,730200
2019-04-25,170.71,170.93,169.38,170.39,170.39,738600
2019-04-26,170.99,172.76,170.46,172.5,172.5,819900
2019-04-29,172.33,173.21,171.25,172.46,172.46,1301200
