Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,13.06,13.12,12.8,13.1,13.1,3869600
2019-04-02,13.06,13.57,13.02,13.49,13.49,4472000
2019-04-03,13.48,13.54,13.11,13.19,13.19,4178500
2019-04-04,13.14,13.54,13.05,13.52,13.52,3680000
2019-04-05,13.55,13.74,13.48,13.55,13.55,2896300
2019-04-08,13.5,13.75,13.47,13.53,13.53,3492500
2019-04-09,13.51,13.51,13.23,13.43,13.43,3152800
2019-04-10,13.49,13.59,13.38,13.5,13.5,2095800
2019-04-11,13.5,13.64,13.45,13.5,13.5,2062200
2019-04-12,13.6,13.73,13.48,13.6,13.6,1990600
2019-04-15,13.42,13.5,13.18,13.19,13.19,4879500
2019-04-16,13.23,13.42,12.93,13.36,13.36,4765100
2019-04-17,13.41,13.48,13.05,13.06,13.06,3016900
2019-04-18,13.02,13.1,12.42,12.49,12.49,4366500
2019-04-22,12.36,12.45,11.75,11.77,11.77,10634600
2019-04-23,12.11,12.51,12.09,12.21,12.21,10596600
2019-04-24,12.13,12.62,11.91,12.54,12.54,4960600
2019-04-25,12.48,12.63,12.18,12.28,12.28,6818900
2019-04-26,13.32,13.61,12.07,12.14,12.14,15827900
2019-04-29,12.1,13.15,12.08,12.51,12.51,10124900
