Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,225.52,228.18,222.7,225.12,225.12,428500
2019-04-02,225.49,225.95,223.51,224.92,224.92,485700
2019-04-03,226.72,228.21,225.2,227.58,227.58,480600
2019-04-04,227.78,227.8,222.84,225.93,225.93,429800
2019-04-05,226.45,228.98,226.39,227.77,227.77,341900
2019-04-08,226.83,228.0,224.38,227.75,227.75,788800
2019-04-09,227.13,228.59,224.15,224.78,224.78,425600
2019-04-10,224.68,226.14,223.68,224.52,224.52,526400
2019-04-11,225.48,225.89,221.5,223.76,223.76,444600
2019-04-12,225.22,227.34,223.71,225.32,225.32,332000
2019-04-15,225.84,226.27,223.83,225.22,225.22,251400
2019-04-16,227.1,228.2,221.0,222.17,222.17,341800
2019-04-17,223.43,223.83,214.82,215.53,215.53,508800
2019-04-18,216.89,219.08,214.25,218.49,218.49,515000
2019-04-22,216.82,222.79,216.82,221.59,221.59,321200
2019-04-23,221.0,226.3,220.66,224.45,224.45,560600
2019-04-24,225.01,226.48,223.47,224.58,224.58,414900
2019-04-25,223.98,228.32,222.25,227.67,227.67,412300
2019-04-26,227.79,233.06,227.05,232.47,232.47,413700
2019-04-29,231.67,233.21,229.01,230.68,230.68,390200
