Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,33.42,34.04,33.32,33.92,33.92,5225300
2019-04-02,34.01,34.15,33.91,34.02,34.02,2914100
2019-04-03,34.38,34.65,34.27,34.38,34.38,4114400
2019-04-04,34.31,34.74,34.29,34.61,34.61,3184200
2019-04-05,34.72,34.97,34.64,34.69,34.69,2201300
2019-04-08,34.61,34.69,34.28,34.68,34.68,1812500
2019-04-09,34.53,34.62,34.23,34.29,34.29,2017300
2019-04-10,34.29,34.48,34.26,34.4,34.4,1457600
2019-04-11,34.42,34.7,34.36,34.6,34.6,1487000
2019-04-12,34.88,35.06,34.76,35.01,35.01,2093400
2019-04-15,35.14,35.15,34.73,34.96,34.96,2183900
2019-04-16,35.0,35.1,34.81,34.88,34.88,2269600
2019-04-17,35.01,35.34,34.75,34.91,34.91,2606200
2019-04-18,34.99,35.19,34.8,34.85,34.85,2968000
2019-04-22,34.68,34.69,34.26,34.35,34.35,3014300
2019-04-23,34.44,34.91,34.26,34.85,34.85,2565000
2019-04-24,34.75,34.9,34.37,34.45,34.45,2790900
2019-04-25,34.32,34.34,33.4,33.56,33.56,3113200
2019-04-26,33.49,33.73,33.18,33.65,33.65,2638900
2019-04-29,33.61,33.92,33.48,33.73,33.73,5165900
